,State,County,2010_Population,Food_Desert_Population,Food_Desert_Low_Income
0,Alabama,Autauga,54571,18093,6836
1,Alabama,Baldwin,182265,46400,15460
2,Alabama,Barbour,27457,6684,3251
3,Alabama,Bibb,22915,296,165
4,Alabama,Blount,57322,5856,2571
5,Alabama,Bullock,10914,6100,3192
6,Alabama,Butler,20947,2478,1414
7,Alabama,Calhoun,118572,34221,14477
8,Alabama,Chambers,34215,6794,3534
9,Alabama,Cherokee,25989,3519,1526
10,Alabama,Chilton,43643,4707,2073
11,Alabama,Choctaw,13859,2703,1010
12,Alabama,Clarke,25833,8757,4187
13,Alabama,Clay,13932,643,324
14,Alabama,Cleburne,14972,790,310
15,Alabama,Coffee,49948,16386,4945
16,Alabama,Colbert,54428,17573,5927
17,Alabama,Conecuh,13228,3558,1750
18,Alabama,Coosa,11539,2826,1166
19,Alabama,Covington,37765,5298,2592
20,Alabama,Crenshaw,13906,5279,2369
21,Alabama,Cullman,80406,6159,2624
22,Alabama,Dale,50251,10356,3584
23,Alabama,Dallas,43820,6222,3774
24,Alabama,DeKalb,71109,0,0
25,Alabama,Elmore,79303,10346,2086
26,Alabama,Escambia,38319,3858,2096
27,Alabama,Etowah,104430,37198,13555
28,Alabama,Fayette,17241,213,95
29,Alabama,Franklin,31704,4638,1557
30,Alabama,Geneva,26790,2243,862
31,Alabama,Greene,9045,2963,1930
32,Alabama,Hale,15760,1865,732
33,Alabama,Henry,17302,3571,1074
34,Alabama,Houston,101547,15683,4894
35,Alabama,Jackson,53227,4660,2132
36,Alabama,Jefferson,658466,226758,84219
37,Alabama,Lamar,14564,230,109
38,Alabama,Lauderdale,92709,14290,5175
39,Alabama,Lawrence,34339,3316,1396
40,Alabama,Lee,140247,55286,24013
41,Alabama,Limestone,82782,11418,3309
42,Alabama,Lowndes,11299,2540,1476
43,Alabama,Macon,21452,8583,4954
44,Alabama,Madison,334811,120958,32148
45,Alabama,Marengo,21027,6391,3129
46,Alabama,Marion,30776,1789,919
47,Alabama,Marshall,93019,21672,8702
48,Alabama,Mobile,412992,103227,40316
49,Alabama,Monroe,23068,4508,2325
50,Alabama,Montgomery,229363,78183,35787
51,Alabama,Morgan,119490,21965,7042
52,Alabama,Perry,10591,882,517
53,Alabama,Pickens,19746,529,176
54,Alabama,Pike,32899,7747,3283
55,Alabama,Randolph,22913,6138,2692
56,Alabama,Russell,52947,5523,2465
57,Alabama,Shelby,195085,60373,10756
58,Alabama,St. Clair,83593,9212,1863
59,Alabama,Sumter,13763,2304,1428
60,Alabama,Talladega,82291,14102,5923
61,Alabama,Tallapoosa,41616,1513,738
62,Alabama,Tuscaloosa,194656,46589,15605
63,Alabama,Walker,67023,6047,2521
64,Alabama,Washington,17581,1479,630
65,Alabama,Wilcox,11670,4997,3555
66,Alabama,Winston,24484,948,383
67,Alaska,0,13798,4476,1798
68,Alaska,Aleutians East,3141,2203,1097
69,Alaska,Aleutians West,5561,1196,463
70,Alaska,Anchorage,291826,87872,15916
71,Alaska,Bethel,17013,13761,7784
72,Alaska,Bristol Bay,997,997,176
73,Alaska,Denali,1826,1826,419
74,Alaska,Dillingham,4847,2462,1561
75,Alaska,Fairbanks North Star,97581,37788,6264
76,Alaska,Haines,2508,519,187
77,Alaska,Hoonah-Angoon,95,95,35
78,Alaska,Juneau,31275,6475,1198
79,Alaska,Kenai Peninsula,55400,12422,3566
80,Alaska,Ketchikan Gateway,13477,191,67
81,Alaska,Kodiak Island,13592,1849,491
82,Alaska,Lake and Peninsula,1631,1629,710
83,Alaska,Matanuska-Susitna,88995,29164,8429
84,Alaska,Nome,9492,5276,3616
85,Alaska,North Slope,9430,5778,1318
86,Alaska,Northwest Arctic,7523,4364,2578
87,Alaska,Sitka,8881,3067,571
88,Alaska,Skagway Municipality,968,3,0
89,Alaska,Southeast Fairbanks,7029,3323,1323
90,Alaska,Valdez-Cordova,9636,5011,1476
91,Alaska,Wade Hampton,7459,4615,3121
92,Alaska,Yakutat,662,662,168
93,Alaska,Yukon-Koyukuk,5588,5588,2780
94,Arizona,Apache,71518,43729,29830
95,Arizona,Cochise,131346,57849,20249
96,Arizona,Coconino,134421,41039,18853
97,Arizona,Gila,53597,20829,9547
98,Arizona,Graham,37220,16221,8476
99,Arizona,Greenlee,8437,5725,2434
100,Arizona,La Paz,20489,8312,3688
101,Arizona,Maricopa,3817117,755125,217897
102,Arizona,Mohave,200186,91286,40218
103,Arizona,Navajo,107449,43618,28363
104,Arizona,Pima,980263,274756,88445
105,Arizona,Pinal,375770,178538,60512
106,Arizona,Santa Cruz,47420,18854,9656
107,Arizona,Yavapai,211033,73882,28460
108,Arizona,Yuma,195751,45442,20318
109,Arkansas,Arkansas,19019,8662,4004
110,Arkansas,Ashley,21853,5210,3019
111,Arkansas,Baxter,41513,6957,2590
112,Arkansas,Benton,221339,53827,15565
113,Arkansas,Boone,36903,8290,3909
114,Arkansas,Bradley,11508,572,295
115,Arkansas,Calhoun,5368,3494,1747
116,Arkansas,Carroll,27446,3975,2428
117,Arkansas,Chicot,11800,7301,4068
118,Arkansas,Clark,22995,8521,4611
