FIPS,State,County,Years of Potential Life Lost Rate,% Fair/Poor Health,Avg. Physically Unhealthy Days,Avg. Mentally Unhealthy Days,% Adult Smokers,% Adult Obesity,Food Environment Index,% Physically Inactive,% Excessive Drinking,Graduation Rate %,% Some College,% Unemployed,% Children in Poverty,Income Ratio
01001,Alabama,Autauga,8824,18,4.2,4.3,19,38,7.2,31,17,90,61,3.9,19,4.6
01003,Alabama,Baldwin,7225,18,4.1,4.2,17,31,8.0,24,17,86,66,4.0,15,4.5
01005,Alabama,Barbour,9586,26,5.1,4.6,22,44,5.6,28,13,81,37,5.9,50,5.8
01007,Alabama,Bibb,11784,20,4.4,4.3,20,38,7.6,35,16,84,48,4.4,27,4.3
01009,Alabama,Blount,10908,21,4.5,4.7,20,34,8.5,29,15,93,54,4.0,19,4.1
01011,Alabama,Bullock,12067,29,5.2,4.8,23,39,4.2,29,13,70,34,4.9,48,6.6
01013,Alabama,Butler,14019,27,5.1,5.1,22,40,6.5,35,13,82,38,5.5,33,5.1
01015,Alabama,Calhoun,12218,20,4.3,4.5,20,37,6.9,30,15,92,58,4.9,24,5.0
01017,Alabama,Chambers,11273,25,5.0,4.9,22,40,6.3,32,14,86,47,4.1,30,4.7
01019,Alabama,Cherokee,11294,19,4.3,4.7,19,36,8.5,32,15,95,50,4.1,25,4.8
01021,Alabama,Chilton,10832,21,4.7,4.6,20,35,8.1,31,15,88,39,4.0,23,5.0
01023,Alabama,Choctaw,12047,24,4.7,4.8,19,41,6.4,33,13,79,55,6.4,35,5.8
01025,Alabama,Clarke,9688,28,5.0,4.8,21,40,5.4,32,13,91,39,8.5,32,8.2
01027,Alabama,Clay,9666,21,4.5,4.6,19,38,7.9,31,15,90,41,4.4,26,4.9
01029,Alabama,Cleburne,11986,18,4.4,4.6,20,35,8.0,29,16,98,50,4.5,22,4.9
01031,Alabama,Coffee,7933,20,4.5,4.6,18,33,7.5,30,16,93,60,4.4,25,4.8
01033,Alabama,Colbert,10332,20,4.3,4.5,18,33,7.4,33,16,92,56,5.2,22,4.9
01035,Alabama,Conecuh,10635,29,5.6,5.3,23,39,5.2,35,11,80,35,6.1,43,4.9
01037,Alabama,Coosa,12713,24,4.8,4.7,21,40,6.9,31,14,83,45,4.6,28,4.3
01039,Alabama,Covington,11346,22,4.8,4.8,21,33,7.5,33,15,95,53,5.2,26,4.6
01041,Alabama,Crenshaw,9259,22,4.6,4.7,20,38,6.2,30,14,89,44,4.5,29,5.8
01043,Alabama,Cullman,10008,21,4.5,4.8,20,35,8.3,33,16,91,51,3.7,19,4.6
01045,Alabama,Dale,9637,23,4.7,4.4,19,37,6.7,29,14,90,58,4.4,26,5.2
01047,Alabama,Dallas,13924,29,5.1,5.1,22,42,4.3,28,12,86,49,7.5,43,6.5
01049,Alabama,DeKalb,10995,23,4.5,4.7,22,30,8.4,31,15,93,44,4.5,28,4.7
01051,Alabama,Elmore,8400,19,4.2,4.4,19,36,7.6,28,17,86,52,3.6,17,4.4
01053,Alabama,Escambia,11921,24,4.9,4.7,21,38,6.5,30,13,88,38,5.0,34,5.6
01055,Alabama,Etowah,11761,23,5.0,4.9,23,36,7.1,33,14,90,53,4.6,29,4.7
01057,Alabama,Fayette,9664,20,4.6,4.6,20,38,7.9,35,15,92,55,4.7,28,5.0
01059,Alabama,Franklin,10876,22,4.7,4.9,21,33,8.0,34,15,92,42,4.2,30,4.3
01061,Alabama,Geneva,10643,24,4.9,4.9,22,38,7.9,32,15,90,45,4.3,34,4.9
01063,Alabama,Greene,12886,34,5.6,5.3,24,42,3.1,28,10,78,47,7.7,49,5.6
01065,Alabama,Hale,11902,27,5.2,5.0,22,42,6.1,31,13,91,43,5.9,36,6.0
01067,Alabama,Henry,9803,21,4.6,4.5,20,38,7.7,32,14,98,58,4.9,28,5.1
01069,Alabama,Houston,9377,24,4.8,4.4,22,36,7.0,29,16,91,59,4.3,27,5.0
01071,Alabama,Jackson,11016,20,4.6,4.8,22,37,7.9,30,15,90,44,4.8,23,5.1
01073,Alabama,Jefferson,10995,20,4.0,4.3,18,33,6.2,28,16,89,67,4.2,23,5.4
01075,Alabama,Lamar,12557,25,4.9,5.0,21,35,7.7,36,14,94,54,4.2,26,4.7
01077,Alabama,Lauderdale,8951,19,4.3,4.5,19,35,7.5,28,15,94,58,4.6,19,4.5
01079,Alabama,Lawrence,11246,21,4.6,4.7,21,35,7.9,35,15,88,50,4.9,24,5.0
01081,Alabama,Lee,7085,19,4.2,4.4,19,31,6.4,22,18,91,71,3.9,19,6.2
01083,Alabama,Limestone,7645,18,4.0,4.3,19,34,8.2,27,16,92,57,4.0,17,5.1
01085,Alabama,Lowndes,17068,30,5.4,5.1,22,46,4.5,33,11,91,39,8.0,40,5.8
01087,Alabama,Macon,11806,30,5.2,4.9,22,47,3.9,31,12,80,52,5.8,45,6.4
01089,Alabama,Madison,8015,15,3.8,4.0,16,32,7.5,22,16,93,73,3.8,18,5.1
01091,Alabama,Marengo,11228,27,5.2,4.8,21,41,5.3,32,12,91,50,5.7,33,6.9
01093,Alabama,Marion,10860,21,4.6,4.8,21,36,7.9,32,14,90,55,4.8,28,4.8
01095,Alabama,Marshall,10530,22,4.7,5.0,22,33,8.1,33,15,92,51,3.8,31,4.8
01097,Alabama,Mobile,10333,20,4.6,4.4,19,37,6.4,28,16,84,60,5.2,31,5.3
01099,Alabama,Monroe,12280,26,5.1,4.8,22,39,5.0,32,12,88,40,6.7,34,8.0
01101,Alabama,Montgomery,9965,21,4.3,4.3,20,37,5.4,26,16,82,62,4.3,34,5.5
01103,Alabama,Morgan,9337,20,4.6,4.5,20,32,8.0,27,15,90,55,4.1,21,4.7
01105,Alabama,Perry,14816,32,5.8,5.3,23,45,4.8,35,12,93,57,7.9,51,5.4
01107,Alabama,Pickens,9928,25,5.0,4.8,21,36,6.9,27,14,98,52,5.3,31,5.8
01109,Alabama,Pike,10148,22,4.9,4.9,22,43,6.3,26,16,87,59,4.9,38,6.6
01111,Alabama,Randolph,10890,22,4.6,4.7,20,37,7.2,30,14,92,51,4.4,28,4.8
01113,Alabama,Russell,11668,24,4.7,4.7,22,40,6.6,31,15,88,61,4.3,35,4.9
01115,Alabama,St. Clair,9682,18,3.9,4.1,20,36,8.4,30,16,88,53,4.0,18,4.2
01117,Alabama,Shelby,6354,15,3.7,3.9,17,33,8.6,22,19,94,75,3.2,9,4.1
01119,Alabama,Sumter,15413,32,5.7,5.2,23,43,4.5,32,11,77,54,6.5,46,7.2
01121,Alabama,Talladega,12393,24,4.8,4.8,21,41,6.8,33,13,93,50,5.0,28,4.8
01123,Alabama,Tallapoosa,10204,24,4.9,5.1,21,35,7.1,31,14,90,50,4.2,28,5.4
01125,Alabama,Tuscaloosa,8855,21,4.5,4.7,20,34,7.0,27,19,89,65,4.1,20,4.9
01127,Alabama,Walker,15488,22,4.7,4.9,20,38,7.4,33,14,90,51,5.0,23,5.1
01129,Alabama,Washington,13128,23,4.7,4.8,21,40,7.2,32,15,93,53,6.8,28,4.7
01131,Alabama,Wilcox,12067,30,5.7,5.2,24,44,2.1,35,11,83,34,11.4,47,6.0
01133,Alabama,Winston,10380,22,4.9,4.9,23,38,7.9,34,15,93,54,5.0,30,4.4
02013,Alaska,Aleutians East,,17,3.4,2.7,17,40,5.2,22,17,82,42,2.5,12,4.3
02016,Alaska,Aleutians West,,15,3.0,2.6,15,40,7.7,24,19,93,53,3.6,8,3.2
02020,Alaska,Anchorage,7877,13,3.4,3.1,15,29,8.1,18,19,80,71,6.0,12,3.7
02050,Alaska,Bethel,14538,26,5.7,4.9,33,31,3.0,28,19,55,34,13.8,36,5.2
02060,Alaska,Bristol Bay,,15,3.7,3.5,20,39,6.8,24,22,83,63,6.3,19,3.9
