State,County,2010_Population,Food_Desert_Population,Food_Desert_Low_Income
Alabama,Autauga,54571,18093,6836
Alabama,Baldwin,182265,46400,15460
Alabama,Barbour,27457,6684,3251
Alabama,Bibb,22915,296,165
Alabama,Blount,57322,5856,2571
Alabama,Bullock,10914,6100,3192
Alabama,Butler,20947,2478,1414
Alabama,Calhoun,118572,34221,14477
Alabama,Chambers,34215,6794,3534
Alabama,Cherokee,25989,3519,1526
Alabama,Chilton,43643,4707,2073
Alabama,Choctaw,13859,2703,1010
Alabama,Clarke,25833,8757,4187
Alabama,Clay,13932,643,324
Alabama,Cleburne,14972,790,310
Alabama,Coffee,49948,16386,4945
Alabama,Colbert,54428,17573,5927
Alabama,Conecuh,13228,3558,1750
Alabama,Coosa,11539,2826,1166
Alabama,Covington,37765,5298,2592
Alabama,Crenshaw,13906,5279,2369
Alabama,Cullman,80406,6159,2624
Alabama,Dale,50251,10356,3584
Alabama,Dallas,43820,6222,3774
Alabama,DeKalb,71109,0,0
Alabama,Elmore,79303,10346,2086
Alabama,Escambia,38319,3858,2096
Alabama,Etowah,104430,37198,13555
Alabama,Fayette,17241,213,95
Alabama,Franklin,31704,4638,1557
Alabama,Geneva,26790,2243,862
Alabama,Greene,9045,2963,1930
Alabama,Hale,15760,1865,732
Alabama,Henry,17302,3571,1074
Alabama,Houston,101547,15683,4894
Alabama,Jackson,53227,4660,2132
Alabama,Jefferson,658466,226758,84219
Alabama,Lamar,14564,230,109
Alabama,Lauderdale,92709,14290,5175
Alabama,Lawrence,34339,3316,1396
Alabama,Lee,140247,55286,24013
Alabama,Limestone,82782,11418,3309
Alabama,Lowndes,11299,2540,1476
Alabama,Macon,21452,8583,4954
Alabama,Madison,334811,120958,32148
Alabama,Marengo,21027,6391,3129
Alabama,Marion,30776,1789,919
Alabama,Marshall,93019,21672,8702
Alabama,Mobile,412992,103227,40316
Alabama,Monroe,23068,4508,2325
Alabama,Montgomery,229363,78183,35787
Alabama,Morgan,119490,21965,7042
Alabama,Perry,10591,882,517
Alabama,Pickens,19746,529,176
Alabama,Pike,32899,7747,3283
Alabama,Randolph,22913,6138,2692
Alabama,Russell,52947,5523,2465
Alabama,Shelby,195085,60373,10756
Alabama,St. Clair,83593,9212,1863
Alabama,Sumter,13763,2304,1428
Alabama,Talladega,82291,14102,5923
Alabama,Tallapoosa,41616,1513,738
Alabama,Tuscaloosa,194656,46589,15605
Alabama,Walker,67023,6047,2521
Alabama,Washington,17581,1479,630
Alabama,Wilcox,11670,4997,3555
Alabama,Winston,24484,948,383
Alaska,0,13798,4476,1798
Alaska,Aleutians East,3141,2203,1097
Alaska,Aleutians West,5561,1196,463
Alaska,Anchorage,291826,87872,15916
Alaska,Bethel,17013,13761,7784
Alaska,Bristol Bay,997,997,176
Alaska,Denali,1826,1826,419
Alaska,Dillingham,4847,2462,1561
Alaska,Fairbanks North Star,97581,37788,6264
Alaska,Haines,2508,519,187
Alaska,Hoonah-Angoon,95,95,35
Alaska,Juneau,31275,6475,1198
Alaska,Kenai Peninsula,55400,12422,3566
Alaska,Ketchikan Gateway,13477,191,67
Alaska,Kodiak Island,13592,1849,491
Alaska,Lake and Peninsula,1631,1629,710
Alaska,Matanuska-Susitna,88995,29164,8429
Alaska,Nome,9492,5276,3616
Alaska,North Slope,9430,5778,1318
Alaska,Northwest Arctic,7523,4364,2578
Alaska,Sitka,8881,3067,571
Alaska,Skagway Municipality,968,3,0
Alaska,Southeast Fairbanks,7029,3323,1323
Alaska,Valdez-Cordova,9636,5011,1476
Alaska,Wade Hampton,7459,4615,3121
Alaska,Yakutat,662,662,168
Alaska,Yukon-Koyukuk,5588,5588,2780
Arizona,Apache,71518,43729,29830
Arizona,Cochise,131346,57849,20249
Arizona,Coconino,134421,41039,18853
Arizona,Gila,53597,20829,9547
Arizona,Graham,37220,16221,8476
Arizona,Greenlee,8437,5725,2434
Arizona,La Paz,20489,8312,3688
Arizona,Maricopa,3817117,755125,217897
Arizona,Mohave,200186,91286,40218
Arizona,Navajo,107449,43618,28363
Arizona,Pima,980263,274756,88445
Arizona,Pinal,375770,178538,60512
Arizona,Santa Cruz,47420,18854,9656
Arizona,Yavapai,211033,73882,28460
Arizona,Yuma,195751,45442,20318
Arkansas,Arkansas,19019,8662,4004
Arkansas,Ashley,21853,5210,3019
Arkansas,Baxter,41513,6957,2590
Arkansas,Benton,221339,53827,15565
Arkansas,Boone,36903,8290,3909
Arkansas,Bradley,11508,572,295
Arkansas,Calhoun,5368,3494,1747
Arkansas,Carroll,27446,3975,2428
Arkansas,Chicot,11800,7301,4068
Arkansas,Clark,22995,8521,4611
Arkansas,Clay,16083,2902,1283
Arkansas,Cleburne,25970,3342,1250
Arkansas,Cleveland,8689,1839,479
Arkansas,Columbia,24552,4744,2111
Arkansas,Conway,21273,5243,2084
Arkansas,Craighead,96443,21050,9556
Arkansas,Crawford,61948,20011,8837
Arkansas,Crittenden,50902,10844,3589
Arkansas,Cross,17870,3456,1581
Arkansas,Dallas,8116,4672,2115
Arkansas,Desha,13008,4206,2010
Arkansas,Drew,18509,4847,2405
Arkansas,Faulkner,113237,33391,10446
Arkansas,Franklin,18125,528,216
Arkansas,Fulton,12245,1711,1090
Arkansas,Garland,96024,28793,11266
Arkansas,Grant,17853,6245,1932
Arkansas,Greene,42090,9928,3876
Arkansas,Hempstead,22609,7145,3591
Arkansas,Hot Spring,32923,6744,2819
Arkansas,Howard,13789,6191,3115
Arkansas,Independence,36647,4280,2476
Arkansas,Izard,13696,151,75
Arkansas,Jackson,17997,4922,2786
Arkansas,Jefferson,77435,16795,5716
Arkansas,Johnson,25540,6069,3078
Arkansas,Lafayette,7645,1616,719
Arkansas,Lawrence,17415,6197,3174
Arkansas,Lee,10424,5283,3176
Arkansas,Lincoln,14134,4694,2372
Arkansas,Little River,13171,68,34
Arkansas,Logan,22353,3217,1710
Arkansas,Lonoke,68356,11161,3819
Arkansas,Madison,15717,3813,1894
Arkansas,Marion,16653,2255,1118
Arkansas,Miller,43462,15651,6213
Arkansas,Mississippi,46480,8460,4602
Arkansas,Monroe,8149,1745,1005
Arkansas,Montgomery,9487,2109,1062
Arkansas,Nevada,8997,4873,2627
Arkansas,Newton,8330,3653,1776
Arkansas,Ouachita,26120,8284,4511
Arkansas,Perry,10445,1491,655
Arkansas,Phillips,21757,8558,5355
Arkansas,Pike,11291,2603,1240
Arkansas,Poinsett,24583,8164,4649
Arkansas,Polk,20662,6792,3689
Arkansas,Pope,61754,13001,5544
Arkansas,Prairie,8715,3227,1713
Arkansas,Pulaski,382748,111419,41607
Arkansas,Randolph,17969,4566,1999
Arkansas,Saline,107118,30038,8343
Arkansas,Scott,11233,2925,1534
Arkansas,Searcy,8195,2757,1355
Arkansas,Sebastian,125744,11612,4287
Arkansas,Sevier,17058,4391,2089
Arkansas,Sharp,17264,5787,2587
Arkansas,St. Francis,28258,8556,4195
Arkansas,Stone,12394,3116,1682
Arkansas,Union,41639,11194,5760
Arkansas,Van Buren,17295,1775,1055
Arkansas,Washington,203065,27086,12755
Arkansas,White,77076,16006,6138
Arkansas,Woodruff,7260,382,191
Arkansas,Yell,22185,3387,1524
California,Alameda,1510271,115055,15896
California,Alpine,1175,575,147
California,Amador,38091,5,2
California,Butte,220000,42034,14377
California,Calaveras,45578,7456,1990
California,Colusa,21419,3262,1026
California,Contra Costa,1049025,251689,38047
California,Del Norte,28610,9844,4203
California,El Dorado,181058,46776,8857
California,Fresno,930450,125492,49496
California,Glenn,28122,6593,2718
California,Humboldt,134623,18049,7001
California,Imperial,174528,30032,15804
California,Inyo,18546,5366,1686
California,Kern,839631,186009,61416
California,Kings,152982,46915,10942
California,Lake,64665,2747,1302
California,Lassen,34895,9725,2638
California,Los Angeles,9818605,682407,173294
California,Madera,150865,20481,9854
California,Marin,252409,32794,4466
California,Mariposa,18251,3194,1118
California,Mendocino,87841,15681,6793
California,Merced,255793,57891,26319
California,Modoc,9686,3013,1286
California,Mono,14202,8121,2483
California,Monterey,415057,69970,23329
California,Napa,136484,11081,2224
California,Nevada,98764,34131,7975
California,Orange,3010232,228008,30386
California,Placer,348432,112690,19971
California,Plumas,20007,1260,261
California,Riverside,2189641,545708,167876
California,Sacramento,1418788,260308,76634
California,San Benito,55269,9874,1438
California,San Bernardino,2035210,484592,177611
California,San Diego,3095313,454869,92380
California,San Francisco,805235,4865,2861
California,San Joaquin,685306,102828,35840
California,San Luis Obispo,269637,50369,13106
California,San Mateo,718451,70819,7845
California,Santa Barbara,423895,46137,10436
California,Santa Clara,1781642,148010,19813
California,Santa Cruz,262382,54323,13369
California,Shasta,177223,37570,13648
California,Sierra,3240,2859,901
California,Siskiyou,44900,12807,5662
California,Solano,413344,83561,14861
California,Sonoma,483878,75991,18767
California,Stanislaus,514453,61496,26097
California,Sutter,94737,33560,11059
California,Tehama,63463,12879,6653
California,Trinity,13786,2390,1022
California,Tulare,442179,55054,25650
California,Tuolumne,55365,15385,4534
California,Ventura,823318,132339,27918
California,Yolo,200849,27310,7120
California,Yuba,72155,12770,7705
Colorado,Adams,441603,97490,28847
Colorado,Alamosa,15445,2209,1161
Colorado,Arapahoe,572003,82844,15513
Colorado,Archuleta,12084,5187,1698
Colorado,Baca,3788,955,318
Colorado,Bent,6499,819,330
Colorado,Boulder,294567,57165,11279
Colorado,Broomfield,55889,21155,3251
Colorado,Chaffee,17809,1837,415
Colorado,Cheyenne,1836,622,181
Colorado,Clear Creek,9088,1116,185
Colorado,Conejos,8256,464,224
Colorado,Costilla,3524,3522,1735
Colorado,Crowley,5823,459,283
Colorado,Custer,4255,1101,281
Colorado,Delta,30952,2724,1110
Colorado,Denver,600158,67256,30167
Colorado,Dolores,2064,2064,1004
Colorado,Douglas,285465,85745,7910
Colorado,Eagle,52197,9126,2811
Colorado,El Paso,622263,197679,56634
Colorado,Elbert,23086,5986,1722
Colorado,Fremont,46824,24206,5981
Colorado,Garfield,56389,9930,2094
Colorado,Gilpin,5441,0,0
Colorado,Grand,14843,422,45
Colorado,Gunnison,15324,1498,544
Colorado,Hinsdale,843,99,28
Colorado,Huerfano,6711,2591,937
Colorado,Jackson,1394,382,112
Colorado,Jefferson,534543,119145,20759
Colorado,Kiowa,1398,1398,595
Colorado,Kit Carson,8270,921,373
Colorado,La Plata,51334,8142,2680
Colorado,Lake,7310,3306,1343
Colorado,Larimer,299630,64686,14702
Colorado,Las Animas,15507,4930,1693
Colorado,Lincoln,5467,1247,521
Colorado,Logan,22709,3982,1244
Colorado,Mesa,146723,50275,15246
Colorado,Mineral,712,91,28
Colorado,Moffat,13795,5820,1837
Colorado,Montezuma,25535,3680,1735
Colorado,Montrose,41276,11854,5304
Colorado,Morgan,28159,4238,1527
Colorado,Otero,18831,6261,3297
Colorado,Ouray,4436,273,77
Colorado,Park,16206,8729,2198
Colorado,Phillips,4442,209,75
Colorado,Pitkin,17148,1569,295
Colorado,Prowers,12551,3064,1603
Colorado,Pueblo,159063,69282,27931
Colorado,Rio Blanco,6666,572,156
Colorado,Rio Grande,11982,2123,906
Colorado,Routt,23509,4938,1231
Colorado,Saguache,6108,1235,584
Colorado,San Juan,699,694,288
Colorado,San Miguel,7359,719,143
Colorado,Sedgwick,2379,442,117
Colorado,Summit,27994,2517,1035
Colorado,Teller,23350,4217,626
Colorado,Washington,4814,2485,786
Colorado,Weld,252825,56377,16054
Colorado,Yuma,10043,2301,682
Connecticut,Fairfield,916829,264287,29466
Connecticut,Hartford,894014,249154,34531
Connecticut,Litchfield,189927,42807,6546
Connecticut,Middlesex,165676,61957,10253
Connecticut,New Haven,862477,259754,40442
Connecticut,New London,274055,114415,22378
Connecticut,Tolland,152691,55928,11890
Connecticut,Windham,118428,16938,4367
Delaware,Kent,162310,35366,9804
Delaware,New Castle,538479,134558,27467
Delaware,Sussex,197145,58473,17688
District of Columbia,District of Columbia,601723,12749,4771
Florida,Alachua,247336,45543,18010
Florida,Baker,27115,14710,5049
Florida,Bay,168852,46951,14759
Florida,Bradford,28520,108,52
Florida,Brevard,543376,233392,70666
Florida,Broward,1748066,173939,46646
Florida,Calhoun,14625,7038,3919
Florida,Charlotte,159978,77143,24522
Florida,Citrus,141236,64418,22913
Florida,Clay,190865,77667,18628
Florida,Collier,321520,102657,34227
Florida,Columbia,67531,10414,3930
Florida,DeSoto,34862,3501,2228
Florida,Dixie,16422,1413,554
Florida,Duval,864263,244279,85212
Florida,Escambia,297619,120643,37748
Florida,Flagler,95696,50780,17705
Florida,Franklin,11549,23,7
Florida,Gadsden,46389,1607,911
Florida,Gilchrist,16939,75,46
Florida,Glades,12884,7260,3972
Florida,Gulf,15863,1264,490
Florida,Hamilton,14799,2964,1476
Florida,Hardee,27731,6877,4163
Florida,Hendry,39140,5668,2528
Florida,Hernando,172778,62059,23881
Florida,Highlands,98786,38318,16274
Florida,Hillsborough,1229226,376605,109472
Florida,Holmes,19927,7499,4206
Florida,Indian River,138028,59653,21158
Florida,Jackson,49746,5011,2889
Florida,Jefferson,14761,2400,1062
